config,direction,model,mean_RMSE,std_RMSE,mean_MSE,std_MSE,mean_R2,std_R2,mean_ada_theta
off2,A_target_is_X,single_lasso,8.520464105945381,4.328034441204762,90.39359659874552,119.68604414627514,0.8116871312538703,0.24933649251847323,0.95
off2,B_target_is_X1,transfer_ridge,4.627237340729379,0.150373515905387,21.432806992011756,1.389767159214342,0.9553500079450998,0.0028952387169916467,0.9349999999999999
off2,B_target_is_X1,transfer_ridge_ada,4.630195313446053,0.13387814198817027,21.455735829714886,1.2370040558253992,0.955302241340303,0.002576994291278274,0.9349999999999999
off2,B_target_is_X1,pooled_ridge,5.491601775848353,0.1550073118446053,30.18051596788981,1.703713528731327,0.9371263036763537,0.003549268910508657,0.9349999999999999
off2,B_target_is_X1,transfer_lasso,5.539237652311252,0.4611860135128126,30.885211680889523,5.302788926518737,0.9356582431466114,0.011047059002869838,0.9349999999999999
off2,B_target_is_X1,single_ridge,6.655518262078883,2.1891604150397885,48.848725493503835,43.17817166535785,0.89823567179092,0.08995112131238328,0.9349999999999999
off2,B_target_is_X1,single_lasso,7.850433228768925,2.7262038694111275,68.68988004007188,55.17585613888074,0.8569014968881881,0.1149453517283832,0.9349999999999999
off3,A_target_is_X,transfer_ridge,4.55489016638314,0.1210653945528483,20.760948416084148,1.1127558650322757,0.9567496603605937,0.002318153686134179,0.9550000000000001
off3,A_target_is_X,transfer_ridge_ada,4.567862533469751,0.14426207287624668,20.885139093063717,1.3413656400025027,0.9564909395713617,0.002794406033290465,0.9550000000000001
off3,A_target_is_X,pooled_ridge,4.935241286699496,0.08263241857398353,24.36309326871271,0.8158854646578496,0.9492454758125589,0.0016996970825267719,0.9550000000000001
off3,A_target_is_X,transfer_lasso,5.368862843342011,0.30041388380128575,28.910424307120007,3.336933089914945,0.9397722278702076,0.0069516809444496695,0.9550000000000001
off3,A_target_is_X,single_ridge,6.443728326697706,2.3336388806916655,46.695211652488474,48.57272688582298,0.9027219892353543,0.1011893528619541,0.9550000000000001
off3,A_target_is_X,single_lasso,8.701376157722484,3.343613402439359,86.33471009390479,76.0989344527037,0.8201428249136147,0.15853344921017556,0.9550000000000001
off3,B_target_is_X1,transfer_ridge,4.650613295431108,0.16306516407540345,21.653464758988775,1.5524075586465018,0.954890321654543,0.0032340600643381927,0.9550000000000001
off3,B_target_is_X1,transfer_ridge_ada,4.676614910541622,0.17266997474418985,21.89905119566948,1.6445140632133097,0.954378702600134,0.003425941356352123,0.9550000000000001
off3,B_target_is_X1,pooled_ridge,5.140956167410727,0.1466868460706779,26.449871494508052,1.5103761411766328,0.9448981856402158,0.0031464979238875423,0.9550000000000001
off3,B_target_is_X1,transfer_lasso,5.672934227504435,0.34577338450451406,32.29576402135147,4.009737602570249,0.9327197036068245,0.008353303986907742,0.9550000000000001
off3,B_target_is_X1,single_ridge,6.673006866949093,2.425607208128037,50.1184124580663,48.58070082056429,0.8955905906822694,0.1012059645975507,0.9550000000000001
off3,B_target_is_X1,single_lasso,7.901791030510563,2.898718619050077,70.42074264066339,64.14504047652171,0.853295669550997,0.13363044554571968,0.9550000000000001
