direction,repeat_id,model,MSE,RMSE,R2,tau_sr,tau_tr_stage1,tau_tr_stage2,tau_pr,alpha_sl,alpha_tl_stage1,alpha_tl_stage2,ada_theta,config,p,whiten,offset
A_target_is_X,1000,single_ridge,23.389726454016525,4.836292635275137,0.9512732466294607,0.01,0.01,0.1,0.01,0.1,0.03162277660168379,0.31622776601683794,1.0,main,163,True,0
A_target_is_X,1000,transfer_ridge,20.034551157074226,4.475997224873383,0.9582629307341656,0.01,0.01,0.1,0.01,0.1,0.03162277660168379,0.31622776601683794,1.0,main,163,True,0
A_target_is_X,1000,transfer_ridge_ada,20.034551157074226,4.475997224873383,0.9582629307341656,0.01,0.01,0.1,0.01,0.1,0.03162277660168379,0.31622776601683794,1.0,main,163,True,0
A_target_is_X,1000,pooled_ridge,27.50809409222675,5.244815925485541,0.9426936386297349,0.01,0.01,0.1,0.01,0.1,0.03162277660168379,0.31622776601683794,1.0,main,163,True,0
A_target_is_X,1000,single_lasso,42.6947378685352,6.534121047894292,0.9110559943302503,0.01,0.01,0.1,0.01,0.1,0.03162277660168379,0.31622776601683794,1.0,main,163,True,0
A_target_is_X,1000,transfer_lasso,27.768316694848856,5.269565133371905,0.9421515287164643,0.01,0.01,0.1,0.01,0.1,0.03162277660168379,0.31622776601683794,1.0,main,163,True,0
A_target_is_X,1001,single_ridge,36.3509935249317,6.029178511615965,0.9242716284114878,0.01,0.01,0.1,0.01,0.1,0.1,0.1,1.0,main,163,True,0
A_target_is_X,1001,transfer_ridge,22.6213802670586,4.75619388451087,0.9528739072968138,0.01,0.01,0.1,0.01,0.1,0.1,0.1,1.0,main,163,True,0
A_target_is_X,1001,transfer_ridge_ada,22.6213802670586,4.75619388451087,0.9528739072968138,0.01,0.01,0.1,0.01,0.1,0.1,0.1,1.0,main,163,True,0
A_target_is_X,1001,pooled_ridge,26.253258619227896,5.123793381785403,0.9453077803014481,0.01,0.01,0.1,0.01,0.1,0.1,0.1,1.0,main,163,True,0
A_target_is_X,1001,single_lasso,48.99147672640314,6.999391168266219,0.8979382846396637,0.01,0.01,0.1,0.01,0.1,0.1,0.1,1.0,main,163,True,0
A_target_is_X,1001,transfer_lasso,29.198136504494087,5.403530004033852,0.9391728501344012,0.01,0.01,0.1,0.01,0.1,0.1,0.1,1.0,main,163,True,0
A_target_is_X,1002,single_ridge,216.46800569968528,14.712851718809826,0.5490420485644552,0.03162277660168379,0.01,0.1,0.01,0.03162277660168379,0.1,0.31622776601683794,1.0,main,163,True,0
A_target_is_X,1002,transfer_ridge,22.57889457445559,4.751725431299202,0.9529624158079891,0.03162277660168379,0.01,0.1,0.01,0.03162277660168379,0.1,0.31622776601683794,1.0,main,163,True,0
A_target_is_X,1002,transfer_ridge_ada,22.57889457445559,4.751725431299202,0.9529624158079891,0.03162277660168379,0.01,0.1,0.01,0.03162277660168379,0.1,0.31622776601683794,1.0,main,163,True,0
A_target_is_X,1002,pooled_ridge,25.92940497017715,5.092092396076209,0.9459824498798405,0.03162277660168379,0.01,0.1,0.01,0.03162277660168379,0.1,0.31622776601683794,1.0,main,163,True,0
A_target_is_X,1002,single_lasso,210.80668429499195,14.519183320524332,0.5608360219732582,0.03162277660168379,0.01,0.1,0.01,0.03162277660168379,0.1,0.31622776601683794,1.0,main,163,True,0
A_target_is_X,1002,transfer_lasso,35.79133810446947,5.982586238782477,0.9254375330961347,0.03162277660168379,0.01,0.1,0.01,0.03162277660168379,0.1,0.31622776601683794,1.0,main,163,True,0
A_target_is_X,1003,single_ridge,27.73902514178159,5.26678508596863,0.9422125504768066,0.01,0.01,0.1,0.01,0.01,0.03162277660168379,0.1,1.0,main,163,True,0
A_target_is_X,1003,transfer_ridge,20.230414125420136,4.497823265249552,0.957854898319944,0.01,0.01,0.1,0.01,0.01,0.03162277660168379,0.1,1.0,main,163,True,0
A_target_is_X,1003,transfer_ridge_ada,20.230414125420136,4.497823265249552,0.957854898319944,0.01,0.01,0.1,0.01,0.01,0.03162277660168379,0.1,1.0,main,163,True,0
A_target_is_X,1003,pooled_ridge,26.49025824454996,5.146868780583974,0.9448140497606193,0.01,0.01,0.1,0.01,0.01,0.03162277660168379,0.1,1.0,main,163,True,0
A_target_is_X,1003,single_lasso,32.950844854520724,5.7402826458738705,0.9313550034997771,0.01,0.01,0.1,0.01,0.01,0.03162277660168379,0.1,1.0,main,163,True,0
A_target_is_X,1003,transfer_lasso,30.8768736830297,5.556696292135256,0.9356756133183455,0.01,0.01,0.1,0.01,0.01,0.03162277660168379,0.1,1.0,main,163,True,0
A_target_is_X,1004,single_ridge,40.981356136088735,6.401668230710549,0.9146254045698544,0.01,0.01,0.1,0.01,0.03162277660168379,0.03162277660168379,0.1,1.0,main,163,True,0
A_target_is_X,1004,transfer_ridge,23.01433612005397,4.797325934315279,0.9520552802396715,0.01,0.01,0.1,0.01,0.03162277660168379,0.03162277660168379,0.1,1.0,main,163,True,0
A_target_is_X,1004,transfer_ridge_ada,23.01433612005397,4.797325934315279,0.9520552802396715,0.01,0.01,0.1,0.01,0.03162277660168379,0.03162277660168379,0.1,1.0,main,163,True,0
A_target_is_X,1004,pooled_ridge,26.003465711863914,5.0993593432767526,0.9458281625049239,0.01,0.01,0.1,0.01,0.03162277660168379,0.03162277660168379,0.1,1.0,main,163,True,0
A_target_is_X,1004,single_lasso,80.50308067666144,8.972350900219041,0.8322915932594541,0.01,0.01,0.1,0.01,0.03162277660168379,0.03162277660168379,0.1,1.0,main,163,True,0
A_target_is_X,1004,transfer_lasso,42.71030227592163,6.535311949396267,0.9110235697082023,0.01,0.01,0.1,0.01,0.03162277660168379,0.03162277660168379,0.1,1.0,main,163,True,0
A_target_is_X,1005,single_ridge,51.671898532450825,7.188316808019164,0.8923542837951445,0.01,0.01,0.1,0.01,0.1,0.1,0.31622776601683794,0.9,main,163,True,0
A_target_is_X,1005,transfer_ridge,21.432739215657854,4.629550649432173,0.9553501491404954,0.01,0.01,0.1,0.01,0.1,0.1,0.31622776601683794,0.9,main,163,True,0
A_target_is_X,1005,transfer_ridge_ada,22.21970093105682,4.713777777012491,0.9537107075893645,0.01,0.01,0.1,0.01,0.1,0.1,0.31622776601683794,0.9,main,163,True,0
A_target_is_X,1005,pooled_ridge,27.46127352025883,5.240350515018898,0.9427911777979433,0.01,0.01,0.1,0.01,0.1,0.1,0.31622776601683794,0.9,main,163,True,0
A_target_is_X,1005,single_lasso,267.8078784412527,16.364836645724658,0.4420880265894078,0.01,0.01,0.1,0.01,0.1,0.1,0.31622776601683794,0.9,main,163,True,0
A_target_is_X,1005,transfer_lasso,33.55854024477079,5.792973350946022,0.9300890193309009,0.01,0.01,0.1,0.01,0.1,0.1,0.31622776601683794,0.9,main,163,True,0
A_target_is_X,1006,single_ridge,26.931914019046577,5.189596710636249,0.9438939683718575,0.01,0.0031622776601683794,0.1,0.01,0.01,0.1,0.1,0.9,main,163,True,0
A_target_is_X,1006,transfer_ridge,22.397691468385936,4.732619937031278,0.9533399079978525,0.01,0.0031622776601683794,0.1,0.01,0.01,0.1,0.1,0.9,main,163,True,0
A_target_is_X,1006,transfer_ridge_ada,21.81696936160833,4.670863877443693,0.9545496999519997,0.01,0.0031622776601683794,0.1,0.01,0.01,0.1,0.1,0.9,main,163,True,0
A_target_is_X,1006,pooled_ridge,26.656263914809283,5.1629704545745065,0.9444682176976091,0.01,0.0031622776601683794,0.1,0.01,0.01,0.1,0.1,0.9,main,163,True,0
A_target_is_X,1006,single_lasso,33.77384018165326,5.811526493241966,0.9296404947641093,0.01,0.0031622776601683794,0.1,0.01,0.01,0.1,0.1,0.9,main,163,True,0
A_target_is_X,1006,transfer_lasso,31.845570260642113,5.64318795191531,0.9336575717939607,0.01,0.0031622776601683794,0.1,0.01,0.01,0.1,0.1,0.9,main,163,True,0
A_target_is_X,1007,single_ridge,59.72617423391659,7.728271102511647,0.8755751775300409,0.01,0.01,0.1,0.01,0.1,0.1,0.31622776601683794,0.8,main,163,True,0
A_target_is_X,1007,transfer_ridge,20.79050280528309,4.559660382669206,0.956688091045692,0.01,0.01,0.1,0.01,0.1,0.1,0.31622776601683794,0.8,main,163,True,0
A_target_is_X,1007,transfer_ridge_ada,24.08758652647417,4.907910607017427,0.9498194264787786,0.01,0.01,0.1,0.01,0.1,0.1,0.31622776601683794,0.8,main,163,True,0
A_target_is_X,1007,pooled_ridge,25.62938923253944,5.062547701754467,0.9466074590215204,0.01,0.01,0.1,0.01,0.1,0.1,0.31622776601683794,0.8,main,163,True,0
A_target_is_X,1007,single_lasso,147.23516186255063,12.134049689306147,0.6932716834610113,0.01,0.01,0.1,0.01,0.1,0.1,0.31622776601683794,0.8,main,163,True,0
A_target_is_X,1007,transfer_lasso,27.11047085152014,5.206771634277822,0.9435219890434259,0.01,0.01,0.1,0.01,0.1,0.1,0.31622776601683794,0.8,main,163,True,0
A_target_is_X,1008,single_ridge,41.227528661276985,6.420866659671184,0.9141125645439125,0.01,0.01,0.1,0.01,0.1,0.1,0.1,1.0,main,163,True,0
A_target_is_X,1008,transfer_ridge,23.64782763081095,4.862903210101035,0.9507355561861358,0.01,0.01,0.1,0.01,0.1,0.1,0.1,1.0,main,163,True,0
A_target_is_X,1008,transfer_ridge_ada,23.64782763081095,4.862903210101035,0.9507355561861358,0.01,0.01,0.1,0.01,0.1,0.1,0.1,1.0,main,163,True,0
A_target_is_X,1008,pooled_ridge,25.334833057511204,5.0333719371323244,0.9472210945047137,0.01,0.01,0.1,0.01,0.1,0.1,0.1,1.0,main,163,True,0
A_target_is_X,1008,single_lasso,49.15809305818583,7.011283267575617,0.8975911804132743,0.01,0.01,0.1,0.01,0.1,0.1,0.1,1.0,main,163,True,0
A_target_is_X,1008,transfer_lasso,29.874194597165115,5.465729100235861,0.9377644490566672,0.01,0.01,0.1,0.01,0.1,0.1,0.1,1.0,main,163,True,0
A_target_is_X,1009,single_ridge,45.8041138263758,6.767873656206637,0.9045783728098855,0.01,0.01,0.1,0.01,0.01,0.1,0.1,0.9,main,163,True,0
A_target_is_X,1009,transfer_ridge,21.89911062345656,4.679648557686416,0.9543785787969279,0.01,0.01,0.1,0.01,0.01,0.1,0.1,0.9,main,163,True,0
A_target_is_X,1009,transfer_ridge_ada,22.983945940287,4.794157479712885,0.9521185907190524,0.01,0.01,0.1,0.01,0.01,0.1,0.1,0.9,main,163,True,0
A_target_is_X,1009,pooled_ridge,25.29009109791125,5.0289254416735245,0.9473143033943101,0.01,0.01,0.1,0.01,0.01,0.1,0.1,0.9,main,163,True,0
A_target_is_X,1009,single_lasso,65.66385196115851,8.103323513297399,0.8632054835629966,0.01,0.01,0.1,0.01,0.01,0.1,0.1,0.9,main,163,True,0
A_target_is_X,1009,transfer_lasso,30.23500373538141,5.498636534212951,0.9370127917884103,0.01,0.01,0.1,0.01,0.01,0.1,0.1,0.9,main,163,True,0
A_target_is_X,1010,single_ridge,27.890591619639753,5.281154383242337,0.9418967989266397,0.01,0.01,0.31622776601683794,0.01,0.1,0.03162277660168379,0.31622776601683794,0.8,main,163,True,0
A_target_is_X,1010,transfer_ridge,22.48312944611544,4.741637844259665,0.953161918944518,0.01,0.01,0.31622776601683794,0.01,0.1,0.03162277660168379,0.31622776601683794,0.8,main,163,True,0
A_target_is_X,1010,transfer_ridge_ada,20.795358764258427,4.560192842880488,0.9566779748472047,0.01,0.01,0.31622776601683794,0.01,0.1,0.03162277660168379,0.31622776601683794,0.8,main,163,True,0
A_target_is_X,1010,pooled_ridge,26.141956114648295,5.11292050736644,0.9455396517472658,0.01,0.01,0.31622776601683794,0.01,0.1,0.03162277660168379,0.31622776601683794,0.8,main,163,True,0
A_target_is_X,1010,single_lasso,51.71671696569845,7.191433582096024,0.8922609155914759,0.01,0.01,0.31622776601683794,0.01,0.1,0.03162277660168379,0.31622776601683794,0.8,main,163,True,0
A_target_is_X,1010,transfer_lasso,31.444901290976446,5.607575348666877,0.9344922672362742,0.01,0.01,0.31622776601683794,0.01,0.1,0.03162277660168379,0.31622776601683794,0.8,main,163,True,0
A_target_is_X,1011,single_ridge,25.54028006283077,5.053739215949985,0.9467930961021415,0.01,0.01,0.1,0.01,0.03162277660168379,0.1,0.03162277660168379,0.9,main,163,True,0
A_target_is_X,1011,transfer_ridge,18.285786212183613,4.276188280721934,0.9619060532110467,0.01,0.01,0.1,0.01,0.03162277660168379,0.1,0.03162277660168379,0.9,main,163,True,0
A_target_is_X,1011,transfer_ridge_ada,18.290232194936593,4.276708102610768,0.9618967910973781,0.01,0.01,0.1,0.01,0.03162277660168379,0.1,0.03162277660168379,0.9,main,163,True,0
A_target_is_X,1011,pooled_ridge,25.61660595065295,5.061285009822401,0.9466340898512984,0.01,0.01,0.1,0.01,0.03162277660168379,0.1,0.03162277660168379,0.9,main,163,True,0
A_target_is_X,1011,single_lasso,57.17528074983339,7.56143377606611,0.880889337912284,0.01,0.01,0.1,0.01,0.03162277660168379,0.1,0.03162277660168379,0.9,main,163,True,0
A_target_is_X,1011,transfer_lasso,24.366696450499482,4.93626340975636,0.9492379694678132,0.01,0.01,0.1,0.01,0.03162277660168379,0.1,0.03162277660168379,0.9,main,163,True,0
A_target_is_X,1012,single_ridge,33.48563561524187,5.7866774245020665,0.9302408982299385,0.01,0.0031622776601683794,0.03162277660168379,0.01,0.1,0.03162277660168379,0.31622776601683794,0.9,main,163,True,0
A_target_is_X,1012,transfer_ridge,27.097023972003196,5.205480186496073,0.9435500023159673,0.01,0.0031622776601683794,0.03162277660168379,0.01,0.1,0.03162277660168379,0.31622776601683794,0.9,main,163,True,0
A_target_is_X,1012,transfer_ridge_ada,27.494047587787776,5.243476669900208,0.9427229010736057,0.01,0.0031622776601683794,0.03162277660168379,0.01,0.1,0.03162277660168379,0.31622776601683794,0.9,main,163,True,0
A_target_is_X,1012,pooled_ridge,25.345444808100815,5.034425966095918,0.9471989875273267,0.01,0.0031622776601683794,0.03162277660168379,0.01,0.1,0.03162277660168379,0.31622776601683794,0.9,main,163,True,0
A_target_is_X,1012,single_lasso,41.26171982275303,6.423528611499526,0.9140413356522037,0.01,0.0031622776601683794,0.03162277660168379,0.01,0.1,0.03162277660168379,0.31622776601683794,0.9,main,163,True,0
A_target_is_X,1012,transfer_lasso,29.954205614311345,5.4730435421537935,0.937597765743501,0.01,0.0031622776601683794,0.03162277660168379,0.01,0.1,0.03162277660168379,0.31622776601683794,0.9,main,163,True,0
A_target_is_X,1013,single_ridge,19.219352124587395,4.383988152879453,0.959961197803769,0.01,0.01,0.1,0.01,0.03162277660168379,0.03162277660168379,0.31622776601683794,1.0,main,163,True,0
A_target_is_X,1013,transfer_ridge,18.7765110267374,4.333187167286615,0.960883748522765,0.01,0.01,0.1,0.01,0.03162277660168379,0.03162277660168379,0.31622776601683794,1.0,main,163,True,0
A_target_is_X,1013,transfer_ridge_ada,18.7765110267374,4.333187167286615,0.960883748522765,0.01,0.01,0.1,0.01,0.03162277660168379,0.03162277660168379,0.31622776601683794,1.0,main,163,True,0
A_target_is_X,1013,pooled_ridge,25.724224280088414,5.071905389504857,0.9464098934800043,0.01,0.01,0.1,0.01,0.03162277660168379,0.03162277660168379,0.31622776601683794,1.0,main,163,True,0
A_target_is_X,1013,single_lasso,49.56724805894998,7.040401129122543,0.8967388064083132,0.01,0.01,0.1,0.01,0.03162277660168379,0.03162277660168379,0.31622776601683794,1.0,main,163,True,0
A_target_is_X,1013,transfer_lasso,30.34231360681063,5.508385753268432,0.9367892380136522,0.01,0.01,0.1,0.01,0.03162277660168379,0.03162277660168379,0.31622776601683794,1.0,main,163,True,0
A_target_is_X,1014,single_ridge,38.92795234457654,6.239226902796254,0.9189031673011053,0.03162277660168379,0.01,0.31622776601683794,0.01,0.1,0.1,1.0,0.9,main,163,True,0
A_target_is_X,1014,transfer_ridge,23.76137984335721,4.87456457987349,0.9504989980260266,0.03162277660168379,0.01,0.31622776601683794,0.01,0.1,0.1,1.0,0.9,main,163,True,0
A_target_is_X,1014,transfer_ridge_ada,23.202790238147347,4.8169274686409125,0.9516626823462309,0.03162277660168379,0.01,0.31622776601683794,0.01,0.1,0.1,1.0,0.9,main,163,True,0
A_target_is_X,1014,pooled_ridge,25.571676150644116,5.056844485511109,0.9467276900602757,0.03162277660168379,0.01,0.31622776601683794,0.01,0.1,0.1,1.0,0.9,main,163,True,0
