config,direction,model,mean_RMSE,std_RMSE,mean_MSE,std_MSE,mean_R2,std_R2,mean_ada_theta
main,A_target_is_X,transfer_ridge,4.622955173076667,0.17319321008238114,21.40021062589402,1.5935441660818672,0.9554179144721692,0.003319758087739379,0.96
main,A_target_is_X,transfer_ridge_ada,4.629420333914003,0.18610410638941272,21.464435629550685,1.715609932290193,0.9552841174429669,0.003574052147001352,0.96
main,A_target_is_X,pooled_ridge,5.095227584626461,0.08118941865995603,25.967606274755628,0.8291341496875012,0.9459028668393852,0.001727297465506559,0.96
main,A_target_is_X,transfer_lasso,5.566799994559949,0.3650213330918727,31.11584072436421,4.184241866838674,0.9351777841492149,0.008716840784306073,0.96
main,A_target_is_X,single_ridge,6.2665725935526435,2.262756610085613,44.13399617292693,44.08783351542644,0.908057652961339,0.09184617847374092,0.96
main,A_target_is_X,single_lasso,8.06719431835297,2.8904284967141316,73.01647221995269,62.59271176678002,0.8478881041707306,0.13039654974371895,0.96
main,B_target_is_X1,transfer_ridge,4.793349797901083,0.2736178594518961,23.04732568139884,2.714861080287809,0.9519865545868678,0.005655746618265537,0.93
main,B_target_is_X1,transfer_ridge_ada,4.821080165377775,0.37565428070957807,23.376874292683652,3.97571222323951,0.9513000209526566,0.00828242046160244,0.93
main,B_target_is_X1,pooled_ridge,5.490946787430682,0.13349145882465957,30.167425593495512,1.4658044499723917,0.9371535742579867,0.0030536437466962612,0.93
main,B_target_is_X1,transfer_lasso,5.680290665196167,0.31311199552787045,32.35883920677098,3.5965446888552384,0.9325883019416625,0.007492517981537985,0.93
main,B_target_is_X1,single_ridge,6.827198520181244,2.267430254110144,51.49481759335627,47.93496454635751,0.8927231884620225,0.0998607315852048,0.93
main,B_target_is_X1,single_lasso,8.560691123423958,3.373860578687903,84.09922095487279,79.47263902177595,0.8247999177682181,0.16556173450480827,0.93
no_whiten,A_target_is_X,transfer_ridge_ada,4.876029659261382,0.23171536491469624,23.82667264781735,2.325545352437135,0.9503629764959735,0.0048447028682864065,0.85
no_whiten,A_target_is_X,transfer_lasso,4.877620103278698,0.30202173894331835,23.877834146163128,3.0852621158346323,0.9502563940732648,0.00642738624999724,0.85
no_whiten,A_target_is_X,transfer_ridge,4.921055754837091,0.26170187131565403,24.281853218192857,2.633075083325511,0.949414719515057,0.005485365570373454,0.85
no_whiten,A_target_is_X,single_lasso,4.993258681261946,0.32612247374208975,25.03367033248347,3.3343734425952585,0.947848493113059,0.006946348547599862,0.85
no_whiten,A_target_is_X,single_ridge,5.016362830778758,0.2552578339145625,25.22579478370469,2.6056924359911022,0.9474482489815378,0.005428320546528431,0.85
no_whiten,A_target_is_X,pooled_ridge,5.796770896388418,0.05758420423100352,33.60570296876385,0.6682379332723564,0.9299907673729393,0.0013921096953149594,0.85
no_whiten,B_target_is_X1,transfer_lasso,5.079175328283582,0.26232601741308864,25.863396207885852,2.7120919255221025,0.9461199629322821,0.005649977764081688,0.9349999999999999
no_whiten,B_target_is_X1,single_lasso,5.237422537214693,0.303689727011102,27.518210911101864,3.2105360536078313,0.9426725627210792,0.006688363747174538,0.9349999999999999
no_whiten,B_target_is_X1,transfer_ridge_ada,5.252310289175492,0.17501277819066927,27.615861372682254,1.829298762517225,0.9424691319555549,0.003810894916511626,0.9349999999999999
no_whiten,B_target_is_X1,transfer_ridge,5.257783461919521,0.17352379900935364,27.67289191581594,1.8133663423410862,0.9423503228187604,0.0037777036301558336,0.9349999999999999
no_whiten,B_target_is_X1,pooled_ridge,5.327845039244327,0.16893162732465766,28.413043762175413,1.7751347417355958,0.9408083981389138,0.003698057475365385,0.9349999999999999
no_whiten,B_target_is_X1,single_ridge,5.442589567122795,0.2962508174419559,29.70515751564717,3.2820635653108146,0.9381165963208857,0.006837373759275884,0.9349999999999999
off1,A_target_is_X,transfer_ridge,4.555479897641769,0.1618962493478885,20.777296973593526,1.4666716894735912,0.9567156021542573,0.0030554504273075686,0.9550000000000001
off1,A_target_is_X,transfer_ridge_ada,4.556878383082339,0.17031433932753873,20.792697223674665,1.5464053318999924,0.9566835195136576,0.0032215558983349503,0.9550000000000001
off1,A_target_is_X,pooled_ridge,4.9644001476008786,0.1461617728219418,24.66556392614236,1.4627214794161427,0.9486153524481248,0.003047221134348108,0.9550000000000001
off1,A_target_is_X,transfer_lasso,5.579867859237942,0.5213374321134518,31.39312840877313,5.842034058306922,0.9346001233271679,0.01217044386137014,0.9550000000000001
off1,A_target_is_X,single_ridge,6.30388587614369,2.0646843789896803,43.788752645045705,37.1163839336113,0.9087768831014997,0.07732287461740521,0.9550000000000001
off1,A_target_is_X,single_lasso,8.128901156441204,3.5096590976290476,77.78085564368294,90.84138436429596,0.8379626808654518,0.18924572463297468,0.9550000000000001
off1,B_target_is_X1,transfer_ridge,4.706317538197972,0.13200901641835808,22.16597983174477,1.2518025377238056,0.9538226223123569,0.0026078232955908903,0.93
off1,B_target_is_X1,transfer_ridge_ada,4.740470376444737,0.14034465740538,22.490771181669224,1.3362351731192474,0.9531459992643805,0.002783717964963225,0.93
off1,B_target_is_X1,pooled_ridge,5.217952560979896,0.14440579213520646,27.246839309798737,1.5106988562918042,0.9432378988362521,0.0031471702216100913,0.93
off1,B_target_is_X1,transfer_lasso,5.904830677150066,0.5452451445677885,35.14945298010352,6.905354803415882,0.9267747431831653,0.01438561161044852,0.93
off1,B_target_is_X1,single_ridge,6.962496068934075,2.5626820995302455,54.715324076012564,57.950253325103226,0.8860140537734604,0.12072512720847511,0.93
off1,B_target_is_X1,single_lasso,9.06748323348847,3.7102896083272117,95.29718871837238,91.95677664847075,0.8014717008035603,0.1915693706512057,0.93
off2,A_target_is_X,transfer_ridge,4.714304611702648,0.1659673079311179,22.250835861857663,1.5718318062678973,0.9536458456040255,0.003274525716004385,0.9650000000000001
off2,A_target_is_X,transfer_ridge_ada,4.7155132633125305,0.16021487690639702,22.260450702919417,1.5181375725193191,0.9536258154429189,0.0031626669608183955,0.9650000000000001
off2,A_target_is_X,pooled_ridge,5.098171368116262,0.09708490856513492,26.000305504177977,0.9898182700710908,0.9458347460218715,0.0020620433856816337,0.9650000000000001
off2,A_target_is_X,transfer_lasso,5.52394528506566,0.2604039468070153,30.578391217136176,2.8621762268652904,0.9362974282647331,0.005962641563323492,0.9650000000000001
off2,A_target_is_X,single_ridge,6.454018470386411,2.4722770350688346,47.46090046731126,52.81176273804107,0.9011268645505146,0.11002034346400254,0.9650000000000001
off2,A_target_is_X,single_lasso,8.520464105945381,4.328034441204762,90.39359659874552,119.68604414627514,0.8116871312538703,0.24933649251847323,0.9650000000000001
off2,B_target_is_X1,transfer_ridge_ada,4.622177560278306,0.1583388747108339,21.388343038022775,1.4734331173740955,0.9554426376782503,0.00306953620254689,0.93
off2,B_target_is_X1,transfer_ridge,4.632902168040372,0.20494471587966914,21.503684718371836,1.9604828568973511,0.9552023516012514,0.004084184774157698,0.93
off2,B_target_is_X1,pooled_ridge,5.491601775848353,0.1550073118446053,30.18051596788981,1.703713528731327,0.9371263036763537,0.003549268910508657,0.93
off2,B_target_is_X1,transfer_lasso,5.539237652311252,0.4611860135128126,30.885211680889523,5.302788926518737,0.9356582431466114,0.011047059002869838,0.93
off2,B_target_is_X1,single_ridge,6.688662694421987,2.208507195336082,49.37183747001107,43.26451191998446,0.89714589640109,0.09013099003814248,0.93
off2,B_target_is_X1,single_lasso,7.850433228768925,2.7262038694111275,68.68988004007188,55.17585613888074,0.8569014968881881,0.1149453517283832,0.93
off3,A_target_is_X,transfer_ridge,4.551053699873688,0.11490314203645656,20.72463237458134,1.054491625990898,0.9568253159182241,0.002196774446762883,0.9400000000000001
off3,A_target_is_X,transfer_ridge_ada,4.566916241626243,0.12023281188709163,20.870457090631135,1.1077107251263867,0.9565215259193007,0.0023076433756182672,0.9400000000000001
off3,A_target_is_X,pooled_ridge,4.936676362633393,0.07688698191865503,24.376389536972397,0.761663812624095,0.9492177763016001,0.0015867395808138861,0.9400000000000001
off3,A_target_is_X,transfer_lasso,5.368862843342011,0.30041388380128575,28.910424307120007,3.336933089914945,0.9397722278702076,0.0069516809444496695,0.9400000000000001
off3,A_target_is_X,single_ridge,6.413144801019283,2.3508940065604924,46.3787937374186,48.707512384047455,0.9033811682873172,0.1014701453604393,0.9400000000000001
off3,A_target_is_X,single_lasso,8.701376157722484,3.343613402439359,86.33471009390479,76.0989344527037,0.8201428249136147,0.15853344921017556,0.9400000000000001
off3,B_target_is_X1,transfer_ridge_ada,4.644692197415895,0.17789297914631497,21.60322922516417,1.6813248568868644,0.954994975057477,0.003502627608678826,0.96
off3,B_target_is_X1,transfer_ridge,4.64569262803299,0.18947372302115306,21.616565271289794,1.792329699606675,0.9549671926790992,0.003733878949081507,0.96
off3,B_target_is_X1,pooled_ridge,5.1583984616416645,0.17281887492192166,26.6374477344199,1.7963992912763194,0.9445074165904653,0.003742356944324225,0.96
off3,B_target_is_X1,transfer_lasso,5.672934227504435,0.34577338450451406,32.29576402135147,4.009737602570249,0.9327197036068245,0.008353303986907742,0.96
off3,B_target_is_X1,single_ridge,6.673006866949093,2.425607208128037,50.1184124580663,48.58070082056429,0.8955905906822694,0.1012059645975507,0.96
off3,B_target_is_X1,single_lasso,7.901791030510563,2.898718619050077,70.42074264066339,64.14504047652171,0.853295669550997,0.13363044554571968,0.96
