distribution,tau,mismatch,c,r,r2
gaussian,0.5,1.2000000000000002,1.033843133514767,0.9014646646437924,0.8126385416013451
gaussian,0.5,1.3,1.0374428245726728,0.9490253293078839,0.9006490756679374
gaussian,0.5,1.4000000000000001,1.0414192952960935,0.9983787605583906,0.9967601495341082
gaussian,0.5,1.5,1.0457780783455632,1.049407605644751,1.1012563227850491
gaussian,0.5,1.6,1.0505215460619908,1.1020202814757367,1.214448700783862
gaussian,0.5,1.7000000000000002,1.0556488304992833,1.1561457731014928,1.3366730486604486
gaussian,0.5,1.8,1.0611558366019147,1.2117290986498508,1.46828740851478
gaussian,0.5,1.9000000000000001,1.0670353359088125,1.2687274346486357,1.6096693034301082
gaussian,0.5,2.0,1.0732771278840871,1.3271068602925056,1.761212618635432
gaussian,0.5,2.1,1.0798682564629196,1.3868396638582834,1.9233242532505566
gaussian,0.5,2.2,1.0867932702438585,1.4479021501105567,2.096420636294773
gaussian,0.5,2.3000000000000003,1.0940345156739724,1.5102728887419035,2.280924198468814
gaussian,0.5,2.4000000000000004,1.1015724534115092,1.5739313475447825,2.4772598867841347
gaussian,0.5,2.5,1.1093859887714894,1.6388568584375904,2.6858518024479285
gaussian,0.5,2.6,1.1174528077951904,1.705027868857314,2.9071200335801137
gaussian,0.5,2.7,1.1257497111016654,1.772421435081486,3.1414777435363144
gaussian,0.5,2.8000000000000003,1.134252938349225,1.8410129177218528,3.3893285632187298
gaussian,0.5,2.9000000000000004,1.142938476910494,1.91077584303551,3.6510643223280637
gaussian,0.5,3.0,1.1517823492707377,1.9816818969551886,3.927063140719915
gaussian,0.5,3.1,1.1607608746891056,2.0537010219592426,4.217687887596438
gaussian,0.5,3.2,1.1698509017831786,2.12680159015014,4.523285003865163
gaussian,0.5,3.3000000000000003,1.1790300098578699,2.2009506292045926,4.844183672196092
gaussian,0.5,3.4000000000000004,1.1882766779426006,2.276114081177192,5.180695310533093
gaussian,0.5,3.5,1.1975704215591847,2.352257077371333,5.533113358043526
gaussian,0.5,3.6,1.2068918982020942,2.429344215745188,5.901713318574602
gaussian,0.5,3.7,1.2162229832717306,2.5073398301494927,6.286753023854087
gaussian,0.5,3.8000000000000003,1.2255468188241834,2.586208243496401,6.688473078728739
gaussian,0.5,3.9000000000000004,1.2348478379173482,2.6659139993095478,7.107097451714627
gaussian,0.5,4.0,1.2441117675851363,2.746422068164798,7.542834176502607
gaussian,0.5,4.1000000000000005,1.2533256135677076,2.827698027234503,7.9958761332259
gaussian,0.5,4.2,1.2624776298917835,2.909708212512167,8.466401881960751
gaussian,0.5,4.3,1.2715572762584049,2.9924198443422867,8.954576524813515
gaussian,0.5,4.4,1.280555165983226,3.0758011276451036,9.460552576822892
gaussian,0.5,4.5,1.289463006972104,3.1598213287472166,9.984470829605826
gaussian,0.5,4.6000000000000005,1.2982735379244899,3.2444508310473283,10.5264611950837
gaussian,0.5,4.7,1.3069804616572565,3.3296611719015146,11.086643519668566
gaussian,0.5,4.800000000000001,1.3155783771464924,3.4154250631418406,11.665128361937446
gaussian,0.5,4.9,1.3240627116048405,3.5017163975785155,12.262017729070257
gaussian,0.5,5.0,1.3324296536541531,3.5885102437066414,12.877405769187499
gaussian,0.5,5.1000000000000005,1.3406760884218727,3.675782830667729,13.511379418231664
gaussian,0.5,5.2,1.3487995351863649,3.7635115253211,14.164019001224752
gaussian,0.5,5.300000000000001,1.356798088021642,3.851674803075563,14.835398788647177
gaussian,0.5,5.4,1.3646703597443866,3.94025221392728,15.52558750935883
gaussian,0.5,5.5,1.3724154293440343,4.0292243449535095,16.234648821966037
gaussian,0.5,5.6000000000000005,1.3800327929773861,4.118572780327717,16.962641746856377
gaussian,0.5,5.7,1.3875223185302872,4.208280059753411,17.709621061318174
gaussian,0.5,5.800000000000001,1.3948842036874871,4.298329636062359,18.475637660251973
gaussian,0.5,5.9,1.4021189374054392,4.388705832588681,19.26073888499791
gaussian,0.5,6.0,1.409227264648981,4.479393800812875,20.06496882276081
gaussian,0.5,6.1000000000000005,1.4162101542294119,4.5703794786682,20.888368579031408
gaussian,0.5,6.2,1.4230687695665294,4.6616495498151025,21.730976525291346
gaussian,0.5,6.300000000000001,1.429804442188961,4.753191404115685,22.592828524159238
gaussian,0.5,6.4,1.436418647784235,4.844993099478615,23.4739581339954
gaussian,0.5,6.5,1.4429129846112303,4.937043325193572,24.3743967948384
gaussian,0.5,6.6000000000000005,1.449289154091922,5.029331366832161,25.294173997401852
gaussian,0.5,6.7,1.455548943405856,5.121847072757955,26.233317436719233
gaussian,0.5,6.800000000000001,1.4616942099188857,5.214580822260691,27.19185315188899
gaussian,0.5,6.9,1.4677268672868147,5.307523495307692,28.169805653243184
gaussian,0.5,7.0,1.4736488730843145,5.400666443888509,29.167198038143358
gaussian,0.5,7.1000000000000005,1.4794622178194794,5.494001464915579,30.184052096494526
gaussian,0.5,7.2,1.4851689152043632,5.587520774633854,31.220388406964908
gaussian,0.5,7.300000000000001,1.4907709935616904,5.681216984485292,32.27622642480416
